,id_student,code_module,code_presentation,total_click,active_days,last_login_day,avg_click_per_day,days_since_last_login,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,late_registration,active_duration,withdrew,score_mean,score_min,score_max,score_std,id_assessment_count,is_banked_mean
0,6516,AAA,2014J,548,20,14,27.40625,0,M,Scotland,HE Qualification,9.0,55<=,0,60,N,Pass,-52.0,,0,0,0,61.8125,48.0,77.0,10.328125,5.0,0.0
1,8462,DDD,2013J,314,15,14,20.9375,0,M,London Region,HE Qualification,4.0,55<=,0,90,N,Withdrawn,-137.0,119.0,0,256,1,87.0,83.0,93.0,4.4726562,7.0,0.57128906
2,8462,DDD,2014J,10,1,10,10.0,4,M,London Region,HE Qualification,4.0,55<=,1,60,N,Withdrawn,-38.0,18.0,0,56,1,87.0,83.0,93.0,4.4726562,7.0,0.57128906
3,11391,AAA,2013J,301,6,9,50.15625,5,M,East Anglian Region,HE Qualification,10.0,55<=,0,240,N,Pass,-159.0,,0,0,0,82.0,78.0,85.0,3.0820312,5.0,0.0
4,23629,BBB,2013B,42,4,9,10.5,5,F,East Anglian Region,Lower Than A Level,3.0,0-35,2,60,N,Fail,-47.0,,0,0,0,82.5,63.0,100.0,20.265625,4.0,0.0
5,23698,CCC,2014J,346,23,13,15.046875,1,F,East Anglian Region,A Level or Equivalent,6.0,0-35,0,120,N,Pass,-110.0,,0,0,0,74.4375,56.0,94.0,13.2578125,9.0,0.0
6,23798,BBB,2013J,94,6,13,15.6640625,1,M,Wales,A Level or Equivalent,6.0,0-35,0,60,N,Distinction,-27.0,,1,0,0,93.9375,87.0,100.0,5.890625,11.0,0.0
7,24186,GGG,2014B,14,2,6,7.0,8,F,Yorkshire Region,Lower Than A Level,2.0,0-35,0,30,Y,Pass,-25.0,,1,0,0,62.5,40.0,80.0,12.8203125,8.0,0.0
8,24213,DDD,2014B,324,15,13,21.59375,1,F,East Anglian Region,A Level or Equivalent,5.0,0-35,1,60,N,Pass,-54.0,,0,0,0,76.3125,58.0,91.0,13.3359375,7.0,0.0
9,24391,GGG,2013J,32,4,14,8.0,0,M,East Midlands Region,A Level or Equivalent,9.0,0-35,0,30,N,Distinction,-64.0,,0,0,0,88.875,80.0,100.0,10.5390625,9.0,0.0
10,24734,AAA,2014J,50,5,12,10.0,2,F,South Region,Lower Than A Level,7.0,0-35,0,60,N,Pass,-18.0,,1,0,0,46.8125,38.0,55.0,7.1914062,5.0,0.0
11,25107,BBB,2013B,15,3,3,5.0,11,F,East Anglian Region,Lower Than A Level,3.0,0-35,0,120,N,Pass,-73.0,,0,0,0,77.375,53.0,100.0,21.84375,11.0,0.0
12,25150,EEE,2014B,67,10,9,6.6992188,5,M,North Western Region,HE Qualification,10.0,0-35,0,60,N,Pass,-47.0,,0,0,0,84.25,75.0,97.0,9.9140625,4.0,0.0
13,25261,CCC,2014J,514,20,11,25.703125,3,F,Scotland,HE Qualification,5.0,0-35,0,60,N,Withdrawn,-114.0,51.0,0,165,1,78.0,78.0,78.0,,1.0,0.0
14,25572,DDD,2014J,38,10,13,3.8007812,1,F,London Region,HE Qualification,2.0,0-35,2,150,N,Withdrawn,-68.0,59.0,0,127,1,55.0,30.0,80.0,35.34375,2.0,0.0
15,25629,BBB,2014B,16,3,3,5.3320312,11,F,Scotland,Lower Than A Level,3.0,0-35,1,120,N,Withdrawn,-156.0,108.0,0,264,1,,,,,,
